closing,murder_flag,lat,lon,adult_price,latlon,,,date,time,time_range,hour_range
February,Not Murdered,40.815057,-73.935946,2,"40.815057,-73.935946",,,2/27/2022,8:19:00,8,6AM-8:59AM
August,Not Murdered,40.834711,-73.942543,8,"40.834711,-73.942543",,,8/24/2022,21:03:00,21,9PM-11:59PM
December,Not Murdered,40.82516,-73.949519,12,"40.82516,-73.949519",,,12/30/2022,17:00:00,17,3PM-5:59PM
December,Not Murdered,40.699374,-73.940499,12,"40.699374,-73.940499",,,12/11/2022,17:45:00,17,3PM-5:59PM
October,Murdered,40.882523,-73.863393,10,"40.882523,-73.863393",,,10/19/2022,3:33:00,3,3AM-5:59AM
April,Murdered,40.8445883,-73.90484654,4,"40.8445883,-73.90484654",,,4/23/2022,19:40:00,19,6PM-8:59PM
March,Not Murdered,40.634124,-73.902336,3,"40.634124,-73.902336",,,3/10/2022,13:40:00,13,12PM-2:59PM
June,Not Murdered,40.641509,-74.083128,6,"40.641509,-74.083128",,,6/20/2022,0:41:00,0,12AM-2:59AM
September,Not Murdered,40.67956101,-73.89889884,9,"40.67956101,-73.89889884",,,9/23/2022,15:50:00,15,3PM-5:59PM
May,Not Murdered,40.70165505,-73.9456458,5,"40.70165505,-73.9456458",,,5/29/2022,2:44:00,2,12AM-2:59AM
November,Not Murdered,40.846527,-73.909249,11,"40.846527,-73.909249",,,11/7/2022,18:55:00,18,6PM-8:59PM
March,Not Murdered,40.821226,-73.87273,3,"40.821226,-73.87273",,,3/1/2022,16:18:00,16,3PM-5:59PM
January,Murdered,40.690747,-73.956814,1,"40.690747,-73.956814",,,1/2/2022,21:45:00,21,9PM-11:59PM
June,Not Murdered,40.806231,-73.918204,6,"40.806231,-73.918204",,,6/3/2022,7:27:00,7,6AM-8:59AM
April,Not Murdered,40.721109,-73.987359,4,"40.721109,-73.987359",,,4/17/2022,4:15:00,4,3AM-5:59AM
February,Not Murdered,40.815057,-73.935946,2,"40.815057,-73.935946",,,2/27/2022,8:19:00,8,6AM-8:59AM
October,Not Murdered,40.695026,-73.981393,10,"40.695026,-73.981393",,,10/15/2022,20:57:00,20,6PM-8:59PM
December,Not Murdered,40.685655,-73.955472,12,"40.685655,-73.955472",,,12/21/2022,8:35:00,8,6AM-8:59AM
June,Not Murdered,40.821273,-73.917418,6,"40.821273,-73.917418",,,6/20/2022,21:34:00,21,9PM-11:59PM
November,Not Murdered,40.847234,-73.938135,11,"40.847234,-73.938135",,,11/18/2022,5:09:00,5,3AM-5:59AM
August,Not Murdered,40.773785,-73.936279,8,"40.773785,-73.936279",,,8/3/2022,17:05:00,17,3PM-5:59PM
March,Not Murdered,40.815318,-73.915863,3,"40.815318,-73.915863",,,3/18/2022,0:30:00,0,12AM-2:59AM
September,Not Murdered,40.685978,-73.923324,9,"40.685978,-73.923324",,,9/27/2022,18:58:00,18,6PM-8:59PM
September,Not Murdered,40.638149,-73.936667,9,"40.638149,-73.936667",,,9/4/2022,12:48:00,12,12PM-2:59PM
March,Not Murdered,40.876482,-73.839659,3,"40.876482,-73.839659",,,3/22/2022,17:50:00,17,3PM-5:59PM
October,Murdered,40.535616,-74.165917,10,"40.535616,-74.165917",,,10/19/2022,19:48:00,19,6PM-8:59PM
May,Not Murdered,40.697394,-73.951286,5,"40.697394,-73.951286",,,5/17/2022,22:04:00,22,9PM-11:59PM
May,Murdered,40.656574,-73.931405,5,"40.656574,-73.931405",,,5/25/2022,18:53:00,18,6PM-8:59PM
April,Not Murdered,40.795807,-73.937099,4,"40.795807,-73.937099",,,4/13/2022,23:30:00,23,9PM-11:59PM
October,Not Murdered,40.83159398,-73.85412673,10,"40.83159398,-73.85412673",,,10/15/2022,21:03:00,21,9PM-11:59PM
August,Not Murdered,40.852367,-73.913523,8,"40.852367,-73.913523",,,8/12/2022,3:13:00,3,3AM-5:59AM
April,Not Murdered,40.636478,-73.944639,4,"40.636478,-73.944639",,,4/29/2022,18:43:00,18,6PM-8:59PM
April,Murdered,40.86947048,-73.8798608,4,"40.86947048,-73.8798608",,,4/22/2022,1:25:00,1,12AM-2:59AM
March,Not Murdered,40.664685,-73.889183,3,"40.664685,-73.889183",,,3/8/2022,13:19:00,13,12PM-2:59PM
May,Murdered,40.682139,-73.927407,5,"40.682139,-73.927407",,,5/28/2022,23:25:00,23,9PM-11:59PM
August,Not Murdered,40.686458,-73.938732,8,"40.686458,-73.938732",,,8/26/2022,1:11:00,1,12AM-2:59AM
April,Not Murdered,40.712389,-73.784907,4,"40.712389,-73.784907",,,4/24/2022,3:40:00,3,3AM-5:59AM
September,Not Murdered,40.813196,-73.958257,9,"40.813196,-73.958257",,,9/16/2022,13:43:00,13,12PM-2:59PM
November,Not Murdered,40.671245,-73.926713,11,"40.671245,-73.926713",,,11/5/2022,19:50:00,19,6PM-8:59PM
March,Not Murdered,40.756161,-73.971561,3,"40.756161,-73.971561",,,3/18/2022,4:15:00,4,3AM-5:59AM
January,Not Murdered,40.682446,-73.90965,1,"40.682446,-73.90965",,,1/5/2022,4:01:00,4,3AM-5:59AM
September,Not Murdered,40.660416,-73.897748,9,"40.660416,-73.897748",,,9/24/2022,23:30:00,23,9PM-11:59PM
July,Not Murdered,40.741928,-73.993512,7,"40.741928,-73.993512",,,7/18/2022,0:15:00,0,12AM-2:59AM
May,Murdered,40.853645,-73.906891,5,"40.853645,-73.906891",,,5/3/2022,0:46:00,0,12AM-2:59AM
January,Not Murdered,40.675554,-73.875431,1,"40.675554,-73.875431",,,1/25/2022,9:00:00,9,9AM-11:59AM
July,Not Murdered,40.86788073,-73.89942603,7,"40.86788073,-73.89942603",,,7/16/2022,2:33:00,2,12AM-2:59AM
August,Murdered,40.682373,-73.821758,8,"40.682373,-73.821758",,,8/1/2022,9:26:00,9,9AM-11:59AM
August,Not Murdered,40.692334,-73.906973,8,"40.692334,-73.906973",,,8/27/2022,18:30:00,18,6PM-8:59PM
March,Not Murdered,40.671245,-73.926713,3,"40.671245,-73.926713",,,3/14/2022,20:43:00,20,6PM-8:59PM
June,Not Murdered,40.663437,-73.897563,6,"40.663437,-73.897563",,,6/4/2022,14:21:00,14,12PM-2:59PM
August,Not Murdered,40.777638,-73.982369,8,"40.777638,-73.982369",,,8/8/2022,4:20:00,4,3AM-5:59AM
July,Not Murdered,40.68023592,-73.75083163,7,"40.68023592,-73.75083163",,,7/13/2022,14:10:00,14,12PM-2:59PM
January,Not Murdered,40.858387,-73.900566,1,"40.858387,-73.900566",,,1/26/2022,11:52:00,11,9AM-11:59AM
March,Murdered,40.899346,-73.856595,3,"40.899346,-73.856595",,,3/25/2022,18:48:00,18,6PM-8:59PM
June,Not Murdered,40.82169684,-73.95291115,6,"40.82169684,-73.95291115",,,6/6/2022,15:33:00,15,3PM-5:59PM
June,Murdered,40.672544,-73.843226,6,"40.672544,-73.843226",,,6/19/2022,5:29:00,5,3AM-5:59AM
January,Not Murdered,40.649363,-73.960873,1,"40.649363,-73.960873",,,1/31/2022,17:45:00,17,3PM-5:59PM
June,Not Murdered,40.672084,-73.950293,6,"40.672084,-73.950293",,,6/25/2022,17:01:00,17,3PM-5:59PM
May,Not Murdered,40.689014,-73.811429,5,"40.689014,-73.811429",,,5/12/2022,21:39:00,21,9PM-11:59PM
July,Not Murdered,40.819673,-73.90946,7,"40.819673,-73.90946",,,7/4/2022,17:45:00,17,3PM-5:59PM
January,Murdered,40.830694,-73.922037,1,"40.830694,-73.922037",,,1/9/2022,22:54:00,22,9PM-11:59PM
November,Not Murdered,40.68376577,-73.98699469,11,"40.68376577,-73.98699469",,,11/12/2022,12:20:00,12,12PM-2:59PM
July,Murdered,40.807698,-73.947398,7,"40.807698,-73.947398",,,7/23/2022,0:35:00,0,12AM-2:59AM
May,Not Murdered,40.711331,-73.992223,5,"40.711331,-73.992223",,,5/16/2022,0:15:00,0,12AM-2:59AM
February,Murdered,40.789323,-73.946316,2,"40.789323,-73.946316",,,2/1/2022,11:10:00,11,9AM-11:59AM
April,Not Murdered,40.663374,-73.886664,4,"40.663374,-73.886664",,,4/22/2022,13:20:00,13,12PM-2:59PM
May,Murdered,40.796382,-73.964958,5,"40.796382,-73.964958",,,5/1/2022,12:17:00,12,12PM-2:59PM
April,Not Murdered,40.674757,-73.880961,4,"40.674757,-73.880961",,,4/13/2022,0:51:00,0,12AM-2:59AM
February,Not Murdered,40.702907,-73.800061,2,"40.702907,-73.800061",,,2/16/2022,5:17:00,5,3AM-5:59AM
June,Not Murdered,40.841057,-73.917095,6,"40.841057,-73.917095",,,6/18/2022,4:13:00,4,3AM-5:59AM
June,Not Murdered,40.801003,-73.945161,6,"40.801003,-73.945161",,,6/24/2022,19:09:00,19,6PM-8:59PM
March,Not Murdered,40.57278637,-73.99596126,3,"40.57278637,-73.99596126",,,3/21/2022,15:05:00,15,3PM-5:59PM
July,Not Murdered,40.830633,-73.874876,7,"40.830633,-73.874876",,,7/16/2022,13:00:00,13,12PM-2:59PM
August,Not Murdered,40.834711,-73.942543,8,"40.834711,-73.942543",,,8/24/2022,21:03:00,21,9PM-11:59PM
May,Murdered,40.62744,-74.076949,5,"40.62744,-74.076949",,,5/9/2022,15:15:00,15,3PM-5:59PM
April,Not Murdered,40.684637,-73.974101,4,"40.684637,-73.974101",,,4/15/2022,14:12:00,14,12PM-2:59PM
July,Not Murdered,40.621234,-74.025789,7,"40.621234,-74.025789",,,7/7/2022,1:05:00,1,12AM-2:59AM
May,Murdered,40.656911,-73.904087,5,"40.656911,-73.904087",,,5/22/2022,2:58:00,2,12AM-2:59AM
July,Not Murdered,40.668604,-73.759252,7,"40.668604,-73.759252",,,7/26/2022,22:13:00,22,9PM-11:59PM
July,Not Murdered,40.786582,-73.940798,7,"40.786582,-73.940798",,,7/23/2022,2:02:00,2,12AM-2:59AM
May,Murdered,40.651036,-73.945238,5,"40.651036,-73.945238",,,5/29/2022,0:25:00,0,12AM-2:59AM
May,Not Murdered,40.629779,-74.110715,5,"40.629779,-74.110715",,,5/18/2022,19:37:00,19,6PM-8:59PM
April,Not Murdered,40.69648,-73.900186,4,"40.69648,-73.900186",,,4/23/2022,3:55:00,3,3AM-5:59AM
July,Not Murdered,40.685957,-73.873848,7,"40.685957,-73.873848",,,7/30/2022,15:40:00,15,3PM-5:59PM
May,Not Murdered,40.697196,-73.935615,5,"40.697196,-73.935615",,,5/5/2022,15:56:00,15,3PM-5:59PM
September,Not Murdered,40.663876,-73.996114,9,"40.663876,-73.996114",,,9/4/2022,15:51:00,15,3PM-5:59PM
September,Not Murdered,40.797621,-73.934223,9,"40.797621,-73.934223",,,9/22/2022,16:30:00,16,3PM-5:59PM
September,Not Murdered,40.869914,-73.879052,9,"40.869914,-73.879052",,,9/10/2022,3:32:00,3,3AM-5:59AM
April,Not Murdered,40.88003,-73.862364,4,"40.88003,-73.862364",,,4/5/2022,2:06:00,2,12AM-2:59AM
March,Not Murdered,40.681992,-73.948221,3,"40.681992,-73.948221",,,3/14/2022,22:45:00,22,9PM-11:59PM
September,Not Murdered,40.655237,-73.959779,9,"40.655237,-73.959779",,,9/18/2022,3:16:00,3,3AM-5:59AM
January,Not Murdered,40.834751,-73.927388,1,"40.834751,-73.927388",,,1/31/2022,13:21:00,13,12PM-2:59PM
November,Murdered,40.749576,-74.004654,11,"40.749576,-74.004654",,,11/12/2022,22:18:00,22,9PM-11:59PM
July,Not Murdered,40.6741545,-73.76839661,7,"40.6741545,-73.76839661",,,7/4/2022,22:14:00,22,9PM-11:59PM
May,Not Murdered,40.798961,-73.943488,5,"40.798961,-73.943488",,,5/1/2022,3:00:00,3,3AM-5:59AM
August,Not Murdered,40.717008,-73.938152,8,"40.717008,-73.938152",,,8/20/2022,1:50:00,1,12AM-2:59AM
May,Not Murdered,40.6969863,-73.93522383,5,"40.6969863,-73.93522383",,,5/3/2022,23:34:00,23,9PM-11:59PM
June,Not Murdered,40.680919,-73.908645,6,"40.680919,-73.908645",,,6/23/2022,18:40:00,18,6PM-8:59PM
January,Not Murdered,40.794086,-73.936809,1,"40.794086,-73.936809",,,1/1/2022,5:45:00,5,3AM-5:59AM
February,Not Murdered,40.804487,-73.914084,2,"40.804487,-73.914084",,,2/7/2022,16:10:00,16,3PM-5:59PM
July,Not Murdered,40.658434,-73.909791,7,"40.658434,-73.909791",,,7/21/2022,14:45:00,14,12PM-2:59PM
August,Not Murdered,40.676224,-74.006944,8,"40.676224,-74.006944",,,8/22/2022,23:57:00,23,9PM-11:59PM
February,Murdered,40.759443,-73.893651,2,"40.759443,-73.893651",,,2/10/2022,18:33:00,18,6PM-8:59PM
June,Not Murdered,40.784873,-73.846284,6,"40.784873,-73.846284",,,6/14/2022,16:55:00,16,3PM-5:59PM
May,Not Murdered,40.819073,-73.900843,5,"40.819073,-73.900843",,,5/31/2022,11:51:00,11,9AM-11:59AM
August,Not Murdered,40.801108,-73.952532,8,"40.801108,-73.952532",,,8/13/2022,22:21:00,22,9PM-11:59PM
April,Not Murdered,40.814178,-73.898436,4,"40.814178,-73.898436",,,4/1/2022,5:03:00,5,3AM-5:59AM
October,Not Murdered,40.70663261,-73.80658821,10,"40.70663261,-73.80658821",,,10/30/2022,4:18:00,4,3AM-5:59AM
March,Not Murdered,40.825285,-73.917538,3,"40.825285,-73.917538",,,3/15/2022,19:23:00,19,6PM-8:59PM
September,Not Murdered,40.640047,-74.086119,9,"40.640047,-74.086119",,,9/10/2022,0:29:00,0,12AM-2:59AM
September,Not Murdered,40.805388,-73.937736,9,"40.805388,-73.937736",,,9/29/2022,11:34:00,11,9AM-11:59AM
July,Not Murdered,40.8599882,-73.90407979,7,"40.8599882,-73.90407979",,,7/28/2022,21:14:00,21,9PM-11:59PM
February,Murdered,40.866279,-73.886199,2,"40.866279,-73.886199",,,2/12/2022,22:54:00,22,9PM-11:59PM
July,Murdered,40.82597381,-73.9156299,7,"40.82597381,-73.9156299",,,7/15/2022,23:50:00,23,9PM-11:59PM
January,Not Murdered,40.816964,-73.888178,1,"40.816964,-73.888178",,,1/22/2022,19:07:00,19,6PM-8:59PM
November,Murdered,40.836629,-73.88708,11,"40.836629,-73.88708",,,11/24/2022,10:38:00,10,9AM-11:59AM
June,Not Murdered,40.824684,-73.860868,6,"40.824684,-73.860868",,,6/28/2022,20:35:00,20,6PM-8:59PM
November,Murdered,40.894872,-73.882173,11,"40.894872,-73.882173",,,11/21/2022,16:30:00,16,3PM-5:59PM
July,Not Murdered,40.676179,-73.775862,7,"40.676179,-73.775862",,,7/2/2022,22:30:00,22,9PM-11:59PM
January,Not Murdered,40.857424,-73.846572,1,"40.857424,-73.846572",,,1/25/2022,12:35:00,12,12PM-2:59PM
March,Not Murdered,40.75682017,-73.97114326,3,"40.75682017,-73.97114326",,,3/5/2022,2:39:00,2,12AM-2:59AM
April,Not Murdered,40.826163,-73.91683,4,"40.826163,-73.91683",,,4/9/2022,22:27:00,22,9PM-11:59PM
April,Not Murdered,40.649363,-73.960873,4,"40.649363,-73.960873",,,4/14/2022,22:50:00,22,9PM-11:59PM
December,Not Murdered,40.843004,-73.886251,12,"40.843004,-73.886251",,,12/28/2022,18:36:00,18,6PM-8:59PM
June,Not Murdered,40.656595,-73.874123,6,"40.656595,-73.874123",,,6/16/2022,18:40:00,18,6PM-8:59PM
April,Not Murdered,40.85251,-73.917727,4,"40.85251,-73.917727",,,4/5/2022,22:08:00,22,9PM-11:59PM
November,Not Murdered,40.675358,-73.738213,11,"40.675358,-73.738213",,,11/14/2022,5:04:00,5,3AM-5:59AM
June,Not Murdered,40.811123,-73.936714,6,"40.811123,-73.936714",,,6/20/2022,18:15:00,18,6PM-8:59PM
November,Not Murdered,40.766224,-73.927497,11,"40.766224,-73.927497",,,11/27/2022,1:40:00,1,12AM-2:59AM
April,Not Murdered,40.62246,-73.927252,4,"40.62246,-73.927252",,,4/30/2022,15:41:00,15,3PM-5:59PM
February,Murdered,40.815057,-73.935946,2,"40.815057,-73.935946",,,2/27/2022,8:19:00,8,6AM-8:59AM
July,Murdered,40.67805,-73.913572,7,"40.67805,-73.913572",,,7/12/2022,22:43:00,22,9PM-11:59PM
October,Not Murdered,40.823875,-73.937448,10,"40.823875,-73.937448",,,10/8/2022,1:13:00,1,12AM-2:59AM
April,Not Murdered,40.81035186,-73.92494233,4,"40.81035186,-73.92494233",,,4/6/2022,10:50:00,10,9AM-11:59AM
September,Not Murdered,40.693035,-73.928275,9,"40.693035,-73.928275",,,9/29/2022,21:32:00,21,9PM-11:59PM
July,Murdered,40.59734648,-73.77094961,7,"40.59734648,-73.77094961",,,7/31/2022,10:06:00,10,9AM-11:59AM
June,Not Murdered,40.873484,-73.883235,6,"40.873484,-73.883235",,,6/8/2022,14:22:00,14,12PM-2:59PM
March,Not Murdered,40.830465,-73.861914,3,"40.830465,-73.861914",,,3/12/2022,13:50:00,13,12PM-2:59PM
February,Not Murdered,40.638196,-73.913105,2,"40.638196,-73.913105",,,2/8/2022,20:02:00,20,6PM-8:59PM
September,Not Murdered,40.8445883,-73.90484654,9,"40.8445883,-73.90484654",,,9/11/2022,0:55:00,0,12AM-2:59AM
December,Murdered,40.711382,-74.000106,12,"40.711382,-74.000106",,,12/5/2022,14:40:00,14,12PM-2:59PM
October,Murdered,40.676521,-73.928998,10,"40.676521,-73.928998",,,10/12/2022,21:50:00,21,9PM-11:59PM
April,Not Murdered,40.861107,-73.926086,4,"40.861107,-73.926086",,,4/26/2022,23:27:00,23,9PM-11:59PM
May,Not Murdered,40.703379,-73.787338,5,"40.703379,-73.787338",,,5/28/2022,23:56:00,23,9PM-11:59PM
July,Murdered,40.648673,-73.892913,7,"40.648673,-73.892913",,,7/10/2022,8:45:00,8,6AM-8:59AM
March,Not Murdered,40.802083,-73.936999,3,"40.802083,-73.936999",,,3/1/2022,21:59:00,21,9PM-11:59PM
March,Murdered,40.837057,-73.903667,3,"40.837057,-73.903667",,,3/26/2022,10:40:00,10,9AM-11:59AM
June,Not Murdered,40.672544,-73.843226,6,"40.672544,-73.843226",,,6/19/2022,5:29:00,5,3AM-5:59AM
November,Not Murdered,40.68376577,-73.98699469,11,"40.68376577,-73.98699469",,,11/12/2022,12:20:00,12,12PM-2:59PM
December,Murdered,40.843004,-73.886251,12,"40.843004,-73.886251",,,12/28/2022,18:36:00,18,6PM-8:59PM
July,Not Murdered,40.65549,-73.917952,7,"40.65549,-73.917952",,,7/26/2022,21:17:00,21,9PM-11:59PM
May,Murdered,40.828648,-73.92323,5,"40.828648,-73.92323",,,5/14/2022,1:56:00,1,12AM-2:59AM
November,Not Murdered,40.832887,-73.926715,11,"40.832887,-73.926715",,,11/3/2022,22:01:00,22,9PM-11:59PM
November,Not Murdered,40.58988995,-73.80746642,11,"40.58988995,-73.80746642",,,11/13/2022,19:48:00,19,6PM-8:59PM
April,Murdered,40.8445883,-73.90484654,4,"40.8445883,-73.90484654",,,4/23/2022,19:40:00,19,6PM-8:59PM
June,Not Murdered,40.641509,-74.083128,6,"40.641509,-74.083128",,,6/20/2022,0:41:00,0,12AM-2:59AM
January,Murdered,40.798285,-73.94082,1,"40.798285,-73.94082",,,1/9/2022,0:47:00,0,12AM-2:59AM
April,Not Murdered,40.637427,-73.897225,4,"40.637427,-73.897225",,,4/18/2022,0:48:00,0,12AM-2:59AM
June,Not Murdered,40.69644305,-73.92227067,6,"40.69644305,-73.92227067",,,6/5/2022,4:24:00,4,3AM-5:59AM
December,Not Murdered,40.86186421,-73.91273918,12,"40.86186421,-73.91273918",,,12/17/2022,4:08:00,4,3AM-5:59AM
December,Murdered,40.706592,-73.795606,12,"40.706592,-73.795606",,,12/23/2022,12:15:00,12,12PM-2:59PM
January,Not Murdered,40.656813,-73.954809,1,"40.656813,-73.954809",,,1/29/2022,14:37:00,14,12PM-2:59PM
August,Murdered,40.690628,-73.798669,8,"40.690628,-73.798669",,,8/31/2022,22:57:00,22,9PM-11:59PM
October,Murdered,40.6682,-73.9031,10,"40.6682,-73.9031",,,10/13/2022,13:51:00,13,12PM-2:59PM
March,Murdered,40.600538,-73.75808,3,"40.600538,-73.75808",,,3/26/2022,20:10:00,20,6PM-8:59PM
January,Not Murdered,40.846629,-73.91605,1,"40.846629,-73.91605",,,1/8/2022,15:22:00,15,3PM-5:59PM
March,Not Murdered,40.814706,-73.942277,3,"40.814706,-73.942277",,,3/29/2022,21:15:00,21,9PM-11:59PM
January,Murdered,40.830694,-73.922037,1,"40.830694,-73.922037",,,1/9/2022,22:54:00,22,9PM-11:59PM
March,Not Murdered,40.803278,-73.946662,3,"40.803278,-73.946662",,,3/21/2022,23:00:00,23,9PM-11:59PM
February,Murdered,40.815057,-73.935946,2,"40.815057,-73.935946",,,2/27/2022,8:19:00,8,6AM-8:59AM
July,Murdered,40.85403,-73.884044,7,"40.85403,-73.884044",,,7/27/2022,4:08:00,4,3AM-5:59AM
January,Not Murdered,40.757421,-73.997079,1,"40.757421,-73.997079",,,1/1/2022,5:20:00,5,3AM-5:59AM
April,Not Murdered,40.81591308,-73.94514931,4,"40.81591308,-73.94514931",,,4/26/2022,17:30:00,17,3PM-5:59PM
July,Murdered,40.858051,-73.899585,7,"40.858051,-73.899585",,,7/13/2022,1:07:00,1,12AM-2:59AM
March,Not Murdered,40.591432,-73.981799,3,"40.591432,-73.981799",,,3/6/2022,22:29:00,22,9PM-11:59PM
August,Not Murdered,40.798141,-73.970169,8,"40.798141,-73.970169",,,8/10/2022,13:31:00,13,12PM-2:59PM
June,Not Murdered,40.669355,-73.924018,6,"40.669355,-73.924018",,,6/5/2022,21:55:00,21,9PM-11:59PM
January,Murdered,40.687285,-73.91817,1,"40.687285,-73.91817",,,1/15/2022,4:50:00,4,3AM-5:59AM
March,Not Murdered,40.69629,-73.744088,3,"40.69629,-73.744088",,,3/3/2022,16:00:00,16,3PM-5:59PM
May,Not Murdered,40.853645,-73.906891,5,"40.853645,-73.906891",,,5/3/2022,0:46:00,0,12AM-2:59AM
April,Not Murdered,40.69932416,-73.83157089,4,"40.69932416,-73.83157089",,,4/13/2022,19:05:00,19,6PM-8:59PM
May,Not Murdered,40.837154,-73.846243,5,"40.837154,-73.846243",,,5/21/2022,3:25:00,3,3AM-5:59AM
June,Not Murdered,40.689322,-73.949679,6,"40.689322,-73.949679",,,6/15/2022,10:20:00,10,9AM-11:59AM
April,Not Murdered,40.676683,-73.889929,4,"40.676683,-73.889929",,,4/27/2022,0:23:00,0,12AM-2:59AM
May,Murdered,40.677651,-73.842883,5,"40.677651,-73.842883",,,5/4/2022,14:26:00,14,12PM-2:59PM
December,Murdered,40.866026,-73.891935,12,"40.866026,-73.891935",,,12/18/2022,11:10:00,11,9AM-11:59AM
February,Not Murdered,40.82529,-73.820693,2,"40.82529,-73.820693",,,2/2/2022,6:45:00,6,6AM-8:59AM
May,Murdered,40.81721463,-73.93094485,5,"40.81721463,-73.93094485",,,5/18/2022,15:37:00,15,3PM-5:59PM
March,Murdered,40.848011,-73.884351,3,"40.848011,-73.884351",,,3/16/2022,13:15:00,13,12PM-2:59PM
April,Not Murdered,40.801258,-73.955816,4,"40.801258,-73.955816",,,4/23/2022,9:25:00,9,9AM-11:59AM
August,Not Murdered,40.65572597,-73.75129439,8,"40.65572597,-73.75129439",,,8/7/2022,18:14:00,18,6PM-8:59PM
July,Not Murdered,40.664185,-73.926408,7,"40.664185,-73.926408",,,7/12/2022,18:47:00,18,6PM-8:59PM
June,Not Murdered,40.824684,-73.860868,6,"40.824684,-73.860868",,,6/28/2022,20:35:00,20,6PM-8:59PM
April,Not Murdered,40.661661,-73.733311,4,"40.661661,-73.733311",,,4/1/2022,21:15:00,21,9PM-11:59PM
February,Murdered,40.815057,-73.935946,2,"40.815057,-73.935946",,,2/27/2022,8:19:00,8,6AM-8:59AM
March,Not Murdered,40.672382,-73.892576,3,"40.672382,-73.892576",,,3/20/2022,16:00:00,16,3PM-5:59PM
March,Not Murdered,40.756161,-73.971561,3,"40.756161,-73.971561",,,3/18/2022,4:15:00,4,3AM-5:59AM
October,Not Murdered,40.727598,-73.977819,10,"40.727598,-73.977819",,,10/27/2022,19:34:00,19,6PM-8:59PM
March,Murdered,40.719373,-74.000231,3,"40.719373,-74.000231",,,3/12/2022,6:00:00,6,6AM-8:59AM
July,Not Murdered,40.793944,-73.949261,7,"40.793944,-73.949261",,,7/4/2022,5:19:00,5,3AM-5:59AM
September,Not Murdered,40.748879,-73.872107,9,"40.748879,-73.872107",,,9/11/2022,13:23:00,13,12PM-2:59PM
February,Not Murdered,40.78845,-73.939372,2,"40.78845,-73.939372",,,2/3/2022,17:15:00,17,3PM-5:59PM
January,Not Murdered,40.88955,-73.84768,1,"40.88955,-73.84768",,,1/2/2022,17:14:00,17,3PM-5:59PM
May,Not Murdered,40.839198,-73.901329,5,"40.839198,-73.901329",,,5/10/2022,22:45:00,22,9PM-11:59PM
April,Not Murdered,40.720763,-73.846429,4,"40.720763,-73.846429",,,4/10/2022,23:45:00,23,9PM-11:59PM
February,Not Murdered,40.789323,-73.946316,2,"40.789323,-73.946316",,,2/1/2022,11:10:00,11,9AM-11:59AM
June,Not Murdered,40.754926,-73.910388,6,"40.754926,-73.910388",,,6/3/2022,6:25:00,6,6AM-8:59AM
June,Not Murdered,40.809638,-73.942015,6,"40.809638,-73.942015",,,6/4/2022,2:10:00,2,12AM-2:59AM
January,Not Murdered,40.840788,-73.938148,1,"40.840788,-73.938148",,,1/24/2022,20:20:00,20,6PM-8:59PM
April,Not Murdered,40.830535,-73.947455,4,"40.830535,-73.947455",,,4/19/2022,18:18:00,18,6PM-8:59PM
May,Not Murdered,40.69,-73.943784,5,"40.69,-73.943784",,,5/16/2022,13:40:00,13,12PM-2:59PM
May,Murdered,40.651036,-73.945238,5,"40.651036,-73.945238",,,5/29/2022,0:25:00,0,12AM-2:59AM
December,Not Murdered,,,12,",",,,12/19/2022,23:23:00,23,9PM-11:59PM
March,Not Murdered,40.877561,-73.872933,3,"40.877561,-73.872933",,,3/15/2022,20:05:00,20,6PM-8:59PM
September,Not Murdered,40.663876,-73.996114,9,"40.663876,-73.996114",,,9/4/2022,15:51:00,15,3PM-5:59PM
September,Not Murdered,40.66087512,-73.90945904,9,"40.66087512,-73.90945904",,,9/28/2022,22:19:00,22,9PM-11:59PM
April,Not Murdered,40.865376,-73.893201,4,"40.865376,-73.893201",,,4/14/2022,1:41:00,1,12AM-2:59AM
January,Not Murdered,40.832551,-73.930574,1,"40.832551,-73.930574",,,1/3/2022,10:20:00,10,9AM-11:59AM
August,Murdered,40.694097,-73.80336,8,"40.694097,-73.80336",,,8/5/2022,1:47:00,1,12AM-2:59AM
March,Not Murdered,40.68732381,-73.83524522,3,"40.68732381,-73.83524522",,,3/14/2022,3:30:00,3,3AM-5:59AM
August,Not Murdered,40.822332,-73.936708,8,"40.822332,-73.936708",,,8/23/2022,2:43:00,2,12AM-2:59AM
March,Not Murdered,40.727772,-74.004299,3,"40.727772,-74.004299",,,3/12/2022,4:38:00,4,3AM-5:59AM
February,Murdered,40.866279,-73.886199,2,"40.866279,-73.886199",,,2/12/2022,22:54:00,22,9PM-11:59PM
December,Not Murdered,40.82064782,-73.91771413,12,"40.82064782,-73.91771413",,,12/19/2022,20:08:00,20,6PM-8:59PM
April,Not Murdered,40.80985,-73.937644,4,"40.80985,-73.937644",,,4/24/2022,19:29:00,19,6PM-8:59PM
September,Not Murdered,40.894872,-73.882173,9,"40.894872,-73.882173",,,9/14/2022,20:38:00,20,6PM-8:59PM
March,Not Murdered,40.814706,-73.942277,3,"40.814706,-73.942277",,,3/29/2022,21:15:00,21,9PM-11:59PM
July,Murdered,40.8013326,-73.9501877,7,"40.8013326,-73.9501877",,,7/17/2022,22:50:00,22,9PM-11:59PM
