closing,murder_flag,lat,lon,adult_price,latlon,,,date,time,time_range,hour_range
July,Not Murdered,40.667027,-73.871333,7,"40.667027,-73.871333",,,7/27/2022,19:45:00,19,6PM-8:59PM
April,Not Murdered,40.672111,-73.847288,4,"40.672111,-73.847288",,,4/25/2022,18:30:00,18,6PM-8:59PM
January,Murdered,40.763784,-73.997415,1,"40.763784,-73.997415",,,1/29/2022,4:05:00,4,3AM-5:59AM
February,Not Murdered,40.696831,-73.783824,2,"40.696831,-73.783824",,,2/21/2022,21:00:00,21,9PM-11:59PM
May,Not Murdered,40.670463,-73.936529,5,"40.670463,-73.936529",,,5/29/2022,0:10:00,0,12AM-2:59AM
May,Not Murdered,40.81591308,-73.94514931,5,"40.81591308,-73.94514931",,,5/23/2022,23:33:00,23,9PM-11:59PM
May,Not Murdered,40.699831,-73.900862,5,"40.699831,-73.900862",,,5/16/2022,2:27:00,2,12AM-2:59AM
April,Not Murdered,40.672111,-73.847288,4,"40.672111,-73.847288",,,4/25/2022,18:30:00,18,6PM-8:59PM
April,Murdered,40.861561,-73.898206,4,"40.861561,-73.898206",,,4/4/2022,19:06:00,19,6PM-8:59PM
December,Not Murdered,40.85469705,-73.89534312,12,"40.85469705,-73.89534312",,,12/1/2022,23:54:00,23,9PM-11:59PM
November,Not Murdered,40.59742,-73.938412,11,"40.59742,-73.938412",,,11/15/2022,19:10:00,19,6PM-8:59PM
May,Murdered,40.754692,-73.9935,5,"40.754692,-73.9935",,,5/5/2022,0:10:00,0,12AM-2:59AM
October,Murdered,40.727598,-73.977819,10,"40.727598,-73.977819",,,10/27/2022,19:34:00,19,6PM-8:59PM
July,Not Murdered,40.57200642,-73.98931656,7,"40.57200642,-73.98931656",,,7/10/2022,2:00:00,2,12AM-2:59AM
March,Not Murdered,40.617425,-73.931167,3,"40.617425,-73.931167",,,3/6/2022,3:27:00,3,3AM-5:59AM
January,Not Murdered,40.88286213,-73.90357449,1,"40.88286213,-73.90357449",,,1/16/2022,0:20:00,0,12AM-2:59AM
September,Not Murdered,40.8559,-73.897694,9,"40.8559,-73.897694",,,9/28/2022,7:23:00,7,6AM-8:59AM
December,Murdered,40.902763,-73.850945,12,"40.902763,-73.850945",,,12/22/2022,23:49:00,23,9PM-11:59PM
April,Not Murdered,40.804711,-73.937173,4,"40.804711,-73.937173",,,4/23/2022,22:38:00,22,9PM-11:59PM
February,Not Murdered,40.815057,-73.935946,2,"40.815057,-73.935946",,,2/27/2022,8:19:00,8,6AM-8:59AM
June,Not Murdered,40.823935,-73.917485,6,"40.823935,-73.917485",,,6/16/2022,17:43:00,17,3PM-5:59PM
July,Not Murdered,40.701314,-73.981796,7,"40.701314,-73.981796",,,7/2/2022,22:55:00,22,9PM-11:59PM
March,Not Murdered,40.670563,-73.922425,3,"40.670563,-73.922425",,,3/21/2022,13:10:00,13,12PM-2:59PM
December,Not Murdered,40.789794,-73.952288,12,"40.789794,-73.952288",,,12/9/2022,19:55:00,19,6PM-8:59PM
October,Not Murdered,40.813048,-73.949067,10,"40.813048,-73.949067",,,10/11/2022,0:49:00,0,12AM-2:59AM
March,Murdered,40.848011,-73.884351,3,"40.848011,-73.884351",,,3/16/2022,13:15:00,13,12PM-2:59PM
May,Not Murdered,40.79025281,-73.94563486,5,"40.79025281,-73.94563486",,,5/7/2022,22:58:00,22,9PM-11:59PM
July,Not Murdered,40.664185,-73.926408,7,"40.664185,-73.926408",,,7/12/2022,18:47:00,18,6PM-8:59PM
November,Not Murdered,40.822248,-73.920102,11,"40.822248,-73.920102",,,11/25/2022,0:15:00,0,12AM-2:59AM
September,Not Murdered,40.827391,-73.85156,9,"40.827391,-73.85156",,,9/28/2022,6:22:00,6,6AM-8:59AM
April,Not Murdered,40.681071,-73.788718,4,"40.681071,-73.788718",,,4/28/2022,21:32:00,21,9PM-11:59PM
June,Murdered,40.672281,-73.809201,6,"40.672281,-73.809201",,,6/25/2022,15:50:00,15,3PM-5:59PM
August,Not Murdered,40.633304,-73.92115,8,"40.633304,-73.92115",,,8/28/2022,13:30:00,13,12PM-2:59PM
February,Not Murdered,40.804487,-73.914084,2,"40.804487,-73.914084",,,2/7/2022,16:10:00,16,3PM-5:59PM
December,Murdered,40.861107,-73.926086,12,"40.861107,-73.926086",,,12/15/2022,16:06:00,16,3PM-5:59PM
March,Not Murdered,40.840845,-73.925153,3,"40.840845,-73.925153",,,3/18/2022,23:43:00,23,9PM-11:59PM
January,Not Murdered,40.849343,-73.935934,1,"40.849343,-73.935934",,,1/13/2022,14:45:00,14,12PM-2:59PM
March,Murdered,40.74266361,-73.99804911,3,"40.74266361,-73.99804911",,,3/8/2022,22:00:00,22,9PM-11:59PM
June,Murdered,40.833263,-73.912572,6,"40.833263,-73.912572",,,6/18/2022,0:20:00,0,12AM-2:59AM
February,Murdered,40.789323,-73.946316,2,"40.789323,-73.946316",,,2/1/2022,11:10:00,11,9AM-11:59AM
May,Murdered,40.688207,-73.94633,5,"40.688207,-73.94633",,,5/31/2022,1:39:00,1,12AM-2:59AM
May,Not Murdered,40.656574,-73.931405,5,"40.656574,-73.931405",,,5/25/2022,18:53:00,18,6PM-8:59PM
July,Not Murdered,40.850173,-73.890418,7,"40.850173,-73.890418",,,7/2/2022,1:32:00,1,12AM-2:59AM
September,Not Murdered,40.894872,-73.882173,9,"40.894872,-73.882173",,,9/14/2022,20:38:00,20,6PM-8:59PM
January,Not Murdered,40.86947048,-73.8798608,1,"40.86947048,-73.8798608",,,1/19/2022,18:40:00,18,6PM-8:59PM
June,Not Murdered,40.641509,-74.083128,6,"40.641509,-74.083128",,,6/20/2022,0:41:00,0,12AM-2:59AM
September,Murdered,40.747153,-73.869859,9,"40.747153,-73.869859",,,9/18/2022,13:35:00,13,12PM-2:59PM
April,Not Murdered,40.8445883,-73.90484654,4,"40.8445883,-73.90484654",,,4/23/2022,19:40:00,19,6PM-8:59PM
March,Not Murdered,40.6901,-73.825477,3,"40.6901,-73.825477",,,3/19/2022,1:28:00,1,12AM-2:59AM
October,Murdered,40.656665,-73.913243,10,"40.656665,-73.913243",,,10/27/2022,8:50:00,8,6AM-8:59AM
May,Murdered,40.875687,-73.801857,5,"40.875687,-73.801857",,,5/16/2022,4:19:00,4,3AM-5:59AM
January,Murdered,40.719467,-73.975034,1,"40.719467,-73.975034",,,1/14/2022,21:56:00,21,9PM-11:59PM
August,Not Murdered,40.706647,-73.754276,8,"40.706647,-73.754276",,,8/25/2022,22:30:00,22,9PM-11:59PM
March,Not Murdered,40.812515,-73.921193,3,"40.812515,-73.921193",,,3/18/2022,20:14:00,20,6PM-8:59PM
September,Not Murdered,40.642107,-74.080674,9,"40.642107,-74.080674",,,9/27/2022,18:10:00,18,6PM-8:59PM
August,Not Murdered,40.821302,-73.904623,8,"40.821302,-73.904623",,,8/29/2022,20:27:00,20,6PM-8:59PM
May,Not Murdered,40.862797,-73.906854,5,"40.862797,-73.906854",,,5/9/2022,3:13:00,3,3AM-5:59AM
May,Murdered,40.853645,-73.906891,5,"40.853645,-73.906891",,,5/3/2022,0:46:00,0,12AM-2:59AM
May,Not Murdered,40.638158,-73.968473,5,"40.638158,-73.968473",,,5/5/2022,9:15:00,9,9AM-11:59AM
March,Not Murdered,40.58262,-73.986223,3,"40.58262,-73.986223",,,3/7/2022,15:37:00,15,3PM-5:59PM
June,Not Murdered,40.809638,-73.942015,6,"40.809638,-73.942015",,,6/4/2022,2:10:00,2,12AM-2:59AM
July,Murdered,40.894627,-73.858395,7,"40.894627,-73.858395",,,7/12/2022,22:46:00,22,9PM-11:59PM
November,Not Murdered,40.859278,-73.86752,11,"40.859278,-73.86752",,,11/22/2022,19:05:00,19,6PM-8:59PM
May,Not Murdered,40.806231,-73.918204,5,"40.806231,-73.918204",,,5/31/2022,21:35:00,21,9PM-11:59PM
July,Not Murdered,40.664694,-73.867333,7,"40.664694,-73.867333",,,7/1/2022,22:06:00,22,9PM-11:59PM
September,Murdered,40.861764,-73.857644,9,"40.861764,-73.857644",,,9/9/2022,0:12:00,0,12AM-2:59AM
January,Not Murdered,40.796382,-73.964958,1,"40.796382,-73.964958",,,1/18/2022,19:21:00,19,6PM-8:59PM
September,Not Murdered,40.799522,-73.932838,9,"40.799522,-73.932838",,,9/20/2022,21:34:00,21,9PM-11:59PM
June,Not Murdered,40.659508,-73.930198,6,"40.659508,-73.930198",,,6/17/2022,22:34:00,22,9PM-11:59PM
